PWM: 19.212900, RPM: 0.000000

PWM: 19.605000, RPM: 0.000000

PWM: 19.997100, RPM: 0.000000

PWM: 20.389200, RPM: 0.000000

PWM: 20.781300, RPM: 0.000000

PWM: 21.173400, RPM: 0.000000

PWM: 21.565500, RPM: 0.000000

PWM: 21.957600, RPM: 0.000000

PWM: 22.349700, RPM: 0.000000

PWM: 22.741800, RPM: 0.000000

PWM: 23.133900, RPM: 0.000000

PWM: 23.526000, RPM: 0.000000

PWM: 23.918100, RPM: 0.000000

PWM: 24.310200, RPM: 0.000000

PWM: 24.702300, RPM: 0.000000

PWM: 25.094400, RPM: 0.000000

PWM: 25.486500, RPM: 0.000000

PWM: 25.878600, RPM: 0.000000

PWM: 26.270700, RPM: 0.000000

PWM: 26.662800, RPM: 0.000000

PWM: 27.054900, RPM: 0.000000

PWM: 27.447000, RPM: 0.000000

PWM: 27.839100, RPM: 0.000000

PWM: 28.231200, RPM: 0.000000

PWM: 28.623300, RPM: 0.000000

PWM: 29.015400, RPM: 0.000000

PWM: 29.407500, RPM: 0.000000

PWM: 29.799600, RPM: 0.000000

PWM: 30.191700, RPM: 0.000000

PWM: 30.583800, RPM: 0.000000

PWM: 30.975900, RPM: 0.000000

PWM: 31.368000, RPM: 0.000000

PWM: 31.760100, RPM: 0.000000

PWM: 32.152200, RPM: 0.000000

PWM: 32.544300, RPM: 0.000000

PWM: 32.936400, RPM: 0.000000

PWM: 33.328500, RPM: 0.000000

PWM: 33.720600, RPM: 0.000000

PWM: 34.112700, RPM: 0.000000

PWM: 34.504800, RPM: 0.000000

PWM: 34.896900, RPM: 0.000000

PWM: 35.289000, RPM: 0.000000

PWM: 35.681100, RPM: 0.000000

PWM: 36.073200, RPM: 0.000000

PWM: 36.465300, RPM: 0.000000

PWM: 36.857400, RPM: 0.000000

PWM: 37.249500, RPM: 0.000000

PWM: 37.641600, RPM: 0.000000

PWM: 38.033700, RPM: 0.000000

PWM: 38.425800, RPM: 0.000000

PWM: 38.817900, RPM: 0.000000

PWM: 39.210000, RPM: 0.000000

PWM: 39.602100, RPM: 0.000000

PWM: 39.994200, RPM: 0.000000

PWM: 40.386300, RPM: 0.000000

PWM: 40.778400, RPM: 0.000000

PWM: 41.170500, RPM: 0.000000

PWM: 41.562600, RPM: 0.000000

PWM: 41.954700, RPM: 0.000000

PWM: 42.346800, RPM: 0.000000

PWM: 42.738900, RPM: 0.000000

PWM: 43.131000, RPM: 0.000000

PWM: 43.523100, RPM: 0.000000

PWM: 43.915200, RPM: 0.000000

PWM: 44.307300, RPM: 0.000000

PWM: 44.699400, RPM: 0.000000

PWM: 45.091500, RPM: 0.000000

PWM: 45.483600, RPM: 0.000000

PWM: 45.875700, RPM: 0.000000

PWM: 46.267800, RPM: 0.000000

PWM: 46.659900, RPM: 0.000000

PWM: 47.052000, RPM: 0.000000

PWM: 47.444100, RPM: 0.000000

PWM: 47.836200, RPM: 0.000000

PWM: 48.228300, RPM: 0.000000

PWM: 48.620400, RPM: 0.000000

PWM: 49.012500, RPM: 0.000000

PWM: 49.404600, RPM: 0.000000

PWM: 49.796700, RPM: 0.000000

PWM: 50.188800, RPM: 0.000000

PWM: 50.580900, RPM: 0.000000

PWM: 50.973000, RPM: 0.000000

PWM: 51.365100, RPM: 0.000000

PWM: 51.757200, RPM: 0.000000

PWM: 52.149300, RPM: 0.000000

PWM: 52.541400, RPM: 0.000000

PWM: 52.933500, RPM: 0.000000

PWM: 53.325600, RPM: 0.000000

PWM: 53.717700, RPM: 0.000000

PWM: 54.109800, RPM: 0.000000

PWM: 54.501900, RPM: 0.000000

PWM: 54.894000, RPM: 0.000000

PWM: 55.286100, RPM: 0.000000

PWM: 55.678200, RPM: 0.000000

PWM: 56.070300, RPM: 0.000000

PWM: 56.462400, RPM: 0.000000

PWM: 56.854500, RPM: 0.000000

PWM: 57.246600, RPM: 0.000000

PWM: 57.638700, RPM: 0.000000

PWM: 58.030800, RPM: 0.000000

PWM: 58.422900, RPM: 0.000000

PWM: 58.815000, RPM: 0.000000

PWM: 59.207100, RPM: 0.000000

PWM: 59.599200, RPM: 0.000000

PWM: 59.991300, RPM: 0.000000

PWM: 60.383400, RPM: 0.000000

PWM: 60.775500, RPM: 0.000000

PWM: 61.167600, RPM: 0.000000

PWM: 61.559700, RPM: 0.000000

PWM: 61.951800, RPM: 0.000000

PWM: 62.343900, RPM: 0.000000

PWM: 62.736000, RPM: 0.000000

PWM: 63.128100, RPM: 0.000000

PWM: 63.520200, RPM: 0.000000

PWM: 63.912300, RPM: 0.000000

PWM: 64.304400, RPM: 0.000000

PWM: 64.696500, RPM: 0.000000

PWM: 65.088600, RPM: 0.000000

PWM: 65.480700, RPM: 0.000000

PWM: 65.872800, RPM: 0.000000

PWM: 66.264900, RPM: 0.000000

PWM: 66.657000, RPM: 0.000000

PWM: 67.049100, RPM: 0.000000

PWM: 67.441200, RPM: 0.000000

PWM: 67.833300, RPM: 0.000000

PWM: 68.225400, RPM: 0.000000

PWM: 68.617500, RPM: 0.000000

PWM: 69.009600, RPM: 0.000000

PWM: 69.401700, RPM: 0.000000

PWM: 69.793800, RPM: 0.000000

PWM: 70.185900, RPM: 0.000000

PWM: 70.578000, RPM: 0.000000

PWM: 70.185900, RPM: 0.000000

PWM: 69.793800, RPM: 0.000000

PWM: 69.401700, RPM: 0.000000

PWM: 69.009600, RPM: 0.000000

PWM: 68.617500, RPM: 0.000000

PWM: 68.225400, RPM: 0.000000

PWM: 67.833300, RPM: 0.000000

PWM: 67.441200, RPM: 0.000000

PWM: 67.049100, RPM: 0.000000

PWM: 66.657000, RPM: 0.000000

PWM: 66.264900, RPM: 0.000000

PWM: 65.872800, RPM: 0.000000

PWM: 65.480700, RPM: 0.000000

PWM: 65.088600, RPM: 0.000000

PWM: 64.696500, RPM: 0.000000

PWM: 64.304400, RPM: 0.000000

PWM: 63.912300, RPM: 0.000000

PWM: 63.520200, RPM: 0.000000

PWM: 63.128100, RPM: 0.000000

PWM: 62.736000, RPM: 0.000000

PWM: 62.343900, RPM: 0.000000

PWM: 61.951800, RPM: 0.000000

PWM: 61.559700, RPM: 0.000000

PWM: 61.167600, RPM: 0.000000

PWM: 60.775500, RPM: 0.000000

PWM: 60.383400, RPM: 0.000000

PWM: 59.991300, RPM: 0.000000

PWM: 59.599200, RPM: 0.000000

PWM: 59.207100, RPM: 0.000000

PWM: 58.815000, RPM: 0.000000

PWM: 58.422900, RPM: 0.000000

PWM: 58.030800, RPM: 0.000000

PWM: 57.638700, RPM: 0.000000

PWM: 57.246600, RPM: 0.000000

PWM: 56.854500, RPM: 0.000000

PWM: 56.462400, RPM: 0.000000

PWM: 56.070300, RPM: 0.000000

PWM: 55.678200, RPM: 0.000000

PWM: 55.286100, RPM: 0.000000

PWM: 54.894000, RPM: 0.000000

PWM: 54.501900, RPM: 0.000000

PWM: 54.109800, RPM: 0.000000

PWM: 53.717700, RPM: 0.000000

PWM: 53.325600, RPM: 0.000000

PWM: 52.933500, RPM: 0.000000

PWM: 52.541400, RPM: 0.000000

PWM: 52.149300, RPM: 0.000000

PWM: 51.757200, RPM: 0.000000

PWM: 51.365100, RPM: 0.000000

PWM: 50.973000, RPM: 0.000000

PWM: 50.580900, RPM: 0.000000

PWM: 50.188800, RPM: 0.000000

PWM: 49.796700, RPM: 0.000000

PWM: 49.404600, RPM: 0.000000

PWM: 49.012500, RPM: 0.000000

PWM: 48.620400, RPM: 0.000000

PWM: 48.228300, RPM: 0.000000

PWM: 47.836200, RPM: 0.000000

PWM: 47.444100, RPM: 0.000000

PWM: 47.052000, RPM: 0.000000

PWM: 46.659900, RPM: 0.000000

PWM: 46.267800, RPM: 0.000000

PWM: 45.875700, RPM: 0.000000

PWM: 45.483600, RPM: 0.000000

PWM: 45.091500, RPM: 0.000000

PWM: 44.699400, RPM: 0.000000

PWM: 44.307300, RPM: 0.000000

PWM: 43.915200, RPM: 0.000000

PWM: 43.523100, RPM: 0.000000

PWM: 43.131000, RPM: 0.000000

PWM: 42.738900, RPM: 0.000000

PWM: 42.346800, RPM: 0.000000

PWM: 41.954700, RPM: 0.000000

PWM: 41.562600, RPM: 0.000000

PWM: 41.170500, RPM: 0.000000

PWM: 40.778400, RPM: 0.000000

PWM: 40.386300, RPM: 0.000000

PWM: 39.994200, RPM: 0.000000

PWM: 39.602100, RPM: 0.000000

PWM: 39.210000, RPM: 0.000000

PWM: 38.817900, RPM: 0.000000

PWM: 38.425800, RPM: 0.000000

PWM: 38.033700, RPM: 0.000000

PWM: 37.641600, RPM: 0.000000

PWM: 37.249500, RPM: 0.000000

PWM: 36.857400, RPM: 0.000000

PWM: 36.465300, RPM: 0.000000

PWM: 36.073200, RPM: 0.000000

PWM: 35.681100, RPM: 0.000000

PWM: 35.289000, RPM: 0.000000

PWM: 34.896900, RPM: 0.000000

PWM: 34.504800, RPM: 0.000000

PWM: 34.112700, RPM: 0.000000

PWM: 33.720600, RPM: 0.000000

PWM: 33.328500, RPM: 0.000000

PWM: 32.936400, RPM: 0.000000

PWM: 32.544300, RPM: 0.000000

PWM: 32.152200, RPM: 0.000000

PWM: 31.760100, RPM: 0.000000

PWM: 31.368000, RPM: 0.000000

PWM: 30.975900, RPM: 0.000000

PWM: 30.583800, RPM: 0.000000

PWM: 30.191700, RPM: 0.000000

PWM: 29.799600, RPM: 0.000000

PWM: 29.407500, RPM: 0.000000

PWM: 29.015400, RPM: 0.000000

PWM: 28.623300, RPM: 0.000000

PWM: 28.231200, RPM: 0.000000

PWM: 27.839100, RPM: 0.000000

PWM: 27.447000, RPM: 0.000000

PWM: 27.054900, RPM: 0.000000

PWM: 26.662800, RPM: 0.000000

PWM: 26.270700, RPM: 0.000000

PWM: 25.878600, RPM: 0.000000

PWM: 25.486500, RPM: 0.000000

PWM: 25.094400, RPM: 0.000000

PWM: 24.702300, RPM: 0.000000

PWM: 24.310200, RPM: 0.000000

PWM: 23.918100, RPM: 0.000000

PWM: 23.526000, RPM: 0.000000

PWM: 23.133900, RPM: 0.000000

PWM: 22.741800, RPM: 0.000000

PWM: 22.349700, RPM: 0.000000

PWM: 21.957600, RPM: 0.000000

PWM: 21.565500, RPM: 0.000000

PWM: 21.173400, RPM: 0.000000

PWM: 20.781300, RPM: 0.000000

PWM: 20.389200, RPM: 0.000000

PWM: 19.997100, RPM: 0.000000

PWM: 19.605000, RPM: 0.000000

PWM: 19.212900, RPM: 0.000000

PWM: 18.820800, RPM: 0.000000

PWM: 18.428700, RPM: 0.000000

PWM: 18.036600, RPM: 0.000000

PWM: 17.644500, RPM: 0.000000

PWM: 17.252400, RPM: 0.000000

PWM: 16.860300, RPM: 0.000000

PWM: 16.468200, RPM: 0.000000

PWM: 16.076100, RPM: 0.000000

PWM: 15.684000, RPM: 0.000000

PWM: 15.291900, RPM: 0.000000

PWM: 14.899800, RPM: 0.000000

PWM: 14.507700, RPM: 0.000000

PWM: 14.115600, RPM: 0.000000

PWM: 13.723500, RPM: 0.000000

PWM: 13.331400, RPM: 0.000000

PWM: 12.939300, RPM: 0.000000

PWM: 12.547200, RPM: 0.000000

PWM: 12.155100, RPM: 0.000000

PWM: 11.763000, RPM: 0.000000

PWM: 11.370900, RPM: 0.000000

PWM: 10.978800, RPM: 0.000000

PWM: 10.586700, RPM: 0.000000

PWM: 10.194600, RPM: 0.000000

PWM: 9.802500, RPM: 0.000000

PWM: 9.410400, RPM: 0.000000

PWM: 9.018300, RPM: 0.000000

PWM: 8.626200, RPM: 0.000000

PWM: 8.234100, RPM: 0.000000

PWM: 7.842000, RPM: 0.000000

PWM: 7.449900, RPM: 0.000000

PWM: 7.057800, RPM: 0.000000

PWM: 6.665700, RPM: 0.000000

PWM: 6.273600, RPM: 0.000000

PWM: 5.881500, RPM: 0.000000

PWM: 5.489400, RPM: 0.000000

PWM: 5.097300, RPM: 0.000000

PWM: 4.705200, RPM: 0.000000

PWM: 4.313100, RPM: 0.000000

PWM: 3.921000, RPM: 0.000000

PWM: 3.528900, RPM: 0.000000

PWM: 3.136800, RPM: 0.000000

PWM: 2.744700, RPM: 0.000000

PWM: 2.352600, RPM: 0.000000

PWM: 1.960500, RPM: 0.000000

PWM: 1.568400, RPM: 0.000000

PWM: 1.176300, RPM: 0.000000

PWM: 0.784200, RPM: 0.000000

PWM: 0.392100, RPM: 0.000000

About to reach the payload bay @ PWM: 40




//////2nd



REDWING LABS

PWM: 0.000000, RPM: 0.000000

PWM: 0.000000, RPM: 0.000000

PWM: 0.000000, RPM: 0.000000

PWM: 2.372205, RPM: 0.000000

PWM: 2.391810, RPM: 0.000000

PWM: 2.411415, RPM: 0.000000

PWM: 2.431020, RPM: 0.000000

PWM: 2.450625, RPM: 0.000000

PWM: 2.470230, RPM: 0.000000

PWM: 2.489835, RPM: 0.000000

PWM: 2.509440, RPM: 0.000000

PWM: 2.529045, RPM: 0.000000

PWM: 2.548650, RPM: 0.000000

PWM: 2.568255, RPM: 0.000000

PWM: 2.587860, RPM: 0.000000

PWM: 2.607465, RPM: 0.000000

PWM: 2.627070, RPM: 0.000000

PWM: 2.646675, RPM: 0.000000

PWM: 2.666280, RPM: 0.000000

PWM: 2.685885, RPM: 0.000000

PWM: 2.705490, RPM: 0.000000

PWM: 2.725095, RPM: 0.000000

PWM: 2.744700, RPM: 0.000000

PWM: 2.764305, RPM: 0.000000

PWM: 2.783910, RPM: 0.000000

PWM: 2.803515, RPM: 0.000000

PWM: 2.823120, RPM: 0.000000

PWM: 2.842725, RPM: 0.000000

PWM: 2.862330, RPM: 0.000000

PWM: 2.881935, RPM: 0.000000

PWM: 2.901540, RPM: 0.000000

PWM: 2.921145, RPM: 0.000000

PWM: 2.940750, RPM: 0.000000

PWM: 2.960355, RPM: 0.000000

PWM: 2.979960, RPM: 0.000000

PWM: 2.999565, RPM: 0.000000

PWM: 3.019170, RPM: 0.000000

PWM: 3.038775, RPM: 0.000000

PWM: 3.058380, RPM: 437.142853

PWM: 3.077985, RPM: 437.142853

PWM: 3.097590, RPM: 437.142853

PWM: 3.117195, RPM: 437.142853

PWM: 3.136800, RPM: 437.142853

PWM: 3.156405, RPM: 437.142853

PWM: 3.176010, RPM: 437.142853

PWM: 3.195615, RPM: 437.142853

PWM: 3.215220, RPM: 437.142853

PWM: 3.234825, RPM: 437.142853

PWM: 3.254430, RPM: 437.142853

PWM: 3.274035, RPM: 437.142853

PWM: 3.293640, RPM: 437.142853

PWM: 3.313245, RPM: 437.142853

PWM: 3.332850, RPM: 437.142853

PWM: 3.352455, RPM: 437.142853

PWM: 3.372060, RPM: 437.142853

PWM: 3.391665, RPM: 437.142853

PWM: 3.411270, RPM: 437.142853

PWM: 3.430875, RPM: 437.142853

PWM: 3.450480, RPM: 437.142853

PWM: 3.470085, RPM: 437.142853

PWM: 3.489690, RPM: 437.142853

PWM: 3.509295, RPM: 437.142853

PWM: 3.528900, RPM: 437.142853

PWM: 3.509295, RPM: 437.142853

PWM: 3.489690, RPM: 437.142853

PWM: 3.470085, RPM: 437.142853

PWM: 3.450480, RPM: 660.000000

PWM: 3.430875, RPM: 660.000000

PWM: 3.411270, RPM: 660.000000

PWM: 3.391665, RPM: 660.000000

PWM: 3.372060, RPM: 660.000000

PWM: 3.352455, RPM: 660.000000

PWM: 3.332850, RPM: 660.000000

PWM: 3.313245, RPM: 660.000000

PWM: 3.293640, RPM: 660.000000

PWM: 3.274035, RPM: 660.000000

PWM: 3.254430, RPM: 660.000000

PWM: 3.234825, RPM: 685.714294

PWM: 3.215220, RPM: 685.714294

PWM: 3.195615, RPM: 685.714294

PWM: 3.176010, RPM: 685.714294

PWM: 3.156405, RPM: 685.714294

PWM: 3.136800, RPM: 685.714294

PWM: 3.117195, RPM: 685.714294

PWM: 3.097590, RPM: 685.714294

PWM: 3.077985, RPM: 685.714294

PWM: 3.058380, RPM: 685.714294

PWM: 3.038775, RPM: 685.714294

PWM: 3.019170, RPM: 642.857178

PWM: 2.999565, RPM: 642.857178

PWM: 2.979960, RPM: 642.857178

